id,gender,articleType,baseColour
/home/vrushali/new/fashion-products/images/1.jpg,Men,tshirt,green
/home/vrushali/new/fashion-products/images/2.jpg,Men,tshirt,red
/home/vrushali/new/fashion-products/images/3.jpg,Men,jeans,blue
/home/vrushali/new/fashion-products/images/4.jpg,Men,jeans,blue
/home/vrushali/new/fashion-products/images/5.jpg,Men,shirt,black
/home/vrushali/new/fashion-products/images/6.jpg,Men,jacket,grey
/home/vrushali/new/fashion-products/images/7.jpg,Men,shirt,blue
/home/vrushali/new/fashion-products/images/8.jpg,Men,shirt,black
/home/vrushali/new/fashion-products/images/9.jpg,Men,pant,cream
/home/vrushali/new/fashion-products/images/10.jpg,Men,jeans,blue
/home/vrushali/new/fashion-products/images/11.jpg,Women,tshirt,red
/home/vrushali/new/fashion-products/images/12.jpg,Women,tshirt,yellow
/home/vrushali/new/fashion-products/images/13.jpg,Women,pant,blue
/home/vrushali/new/fashion-products/images/14.jpg,Women,pant,white
/home/vrushali/new/fashion-products/images/15.jpg,Women,kurti,black
/home/vrushali/new/fashion-products/images/16.jpg,Women,top,red
/home/vrushali/new/fashion-products/images/17.jpg,Women,top,red
/home/vrushali/new/fashion-products/images/18.jpg,Women,top,blue
/home/vrushali/new/fashion-products/images/19.jpg,Women,top,yellow
/home/vrushali/new/fashion-products/images/20.jpg,Women,jeans,blue
/home/vrushali/new/fashion-products/images/21.jpg,kids,tshirt,white
/home/vrushali/new/fashion-products/images/22.jpg,kids,tshirt,yellow
/home/vrushali/new/fashion-products/images/23.jpg,kids,pant,black
/home/vrushali/new/fashion-products/images/24.jpg,kids,jacket,black
/home/vrushali/new/fashion-products/images/25.jpg,kids,jacket,black
